Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
5-((2-carboxylatepyrrolidin-1-yl)carbonyl)isophthalate)-aqua-bis(pyridin,,,,,
"Benzene-1,4-dicarboxylate-2,5-dicarboxylic",,,,,
"Benzene-1,4-dicarboxylate-2,5-dicarboxylic",,,,,
"cyclobutane-1,1-dicarboxylate","4,4'-ethane-1,2-diyldipyridine",,,,
"Isonicoate-N,O",hydroxo,,,,
"Naphthalene-2,6-dicarboxylate",,,,,
"4,4',4''-(benzene-1,3,5-triyltriethyne-2,1-diyl)tribenzoate",,,,,
"1,1'-(butane-1,4-diyl)bis(3-methyl-1,3-dihydro-2H-imidazole-2-thione)",,,,,
azido,hydroxo,isonicoate,,,
"2,6-di(1H-imidazol-1-yl)pyridine","hydrogen3,3',3''-(2,4,6-trioxo-1,3,5-triazinane-1,3,5-triyl)tripropanoate",,,,
azido,"3,5-diamino-1,2,4-triazolate",,,,
azido,"1,1'-(butane-1,4-diyl)bis(1H-tetrazole)",,,,
Tartrate,,,,,
Tartrate,,,,,
"3,8-bis(1H-imidazol-1-yl)-1,10-phenanthroline-N,N',N'',N''","D-camphorate-O,O',O'',O'''",,,,
"D-Camphorate-O,O',O''","3,8-bis(1H-imidazol-1-yl)-1,10-phenanthroline-N,N",,,,
"2,4-bis(carboxylatemethoxy)benzoate",,,,,
isophthalate,,,,,
isophthalate,,,,,
isophthalate,,,,,
bromo,"naphthalene-1,4-dicarboxylate",,,,
"3,5-Diaminobenzoate-N,N',O,O'","azido-N,N''",,,,
"4-carboxy[1,1'-biphenyl]-2,3',5',6-tetracarboxylate)-aqua-bis(2,2'-bipyridin",,,,,
"3,5-Diaminobenzoate-N,N',O,O'","azido-N,N",,,,
"Azido-N,N,N''","4-aminobenzoate-N,O,O'",,,,
aqua,"biphenyl-2,3',4,5',6-pentacarboxylate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,
"4-carboxy[1,1'-biphenyl]-2,3',5',6-tetracarboxylate","1,1'-(1,4-phenylenebis",,,,
"1,4-Butylene-diphosphonate",aqua,,,,
Acetylenedicarboxylate,oxalate,,,,
"et4-Benzoquinone-O,O'",,,,,
"et4-Benzoquinone-O,O')-hexacarbonyl-(i",,,,,
"propane-1,2,3-tricarboxylate)-tetraoxo-tetra-aqua-(i",,,,,
"propane-1,2,3-tricarboxylate)-(1,4,8,11-tetraazacyclotetradecane)-tetraoxo-(",,,,,
"propane-1,2,3-tricarboxylate)-(5,5,7,12,12,14-hexamethyl-1,4,8,11-tetraazacyclotetradecane)-tetraoxo-(",,,,,
"2,4-Dinitrophenoxo",,,,,
pyridine-3-carboxylate,oxo,iodo)-octa-n-butyl-tetra-(,,,
"2,2',5,5'-tetrafluoro-3,3',6,6'-tetrakis",,,,,
"(2RS,3RS)-Tartrate-O,O',O'',O''',O'''',O''''","oxalate-O,O',O'',O'''",,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"1,1'-(butane-1,4-diyl)bis(1H-imidazole)",,,,,
"1,1'-(butane-1,4-diyl)bis(1H-imidazole)",,,,,
"1,2,4,5-tetrakis(4-Methylthiophenyl)ethynylbenzene",bromo,,,,
"1,3,6,8-tetrakis(4-Methylthiophenyl)pyrene",bromo,,,,
"4,4',4''-nitrilotribenzoate",,,,,
"4,3':5',4''-terpyridine",terephthalate,,,,
"4,3':5',4''-terpyridine",terephthalate,,,,
"cyclohexane-1,4-dicarboxylate","4,3':5',4''-terpyridine)-bis(nitrat",,,,
"3-Phosphonatebenzoate-O,O,O',O',O'',O'',O''',O''',O''''","3-phosphonatebenzoate-O,O,O',O'',O'',O''',O''',O''''",,,,
"6-Methyl-3-methoxybenzene-1,2,4,5-tetraolate",,,,,
"pyridine-2,5-dicarboxylate)-tetra-aqua-(i",,,,,
Iminodiacetate)-tri-(i,,,,,
